Q96HJ5	P03070	0
Q6P2I3	C7SRR3	0
Q9NUQ3	E5LBX2	0
Q8TE04	Q76VT2	0
Q93099	P88993	0
Q9Y5E5	P03134	0
Q9NP55	Q900A7	0
Q6ZMV5	Q4KRW3	0
Q96AZ1	P11158	0
Q8N5H7	Q9J4B7	0
P55808	E5LBV4	0
Q8IUC2	Q8JPQ9	0
Q6UWQ5	Q80908	0
Q8TBK6	O92597	1
Q99426	M0QVB0	0
Q8NGR6	O41964	0
O75575	Q02840	0
P55317	I0DF37	0
Q9Y576	Q2I360	0
Q7Z4K8	O41969	0
P40394	Q07857	0
Q8TC07	P05919	1
Q96S95	O89343	0
Q8TDU9	P03281	0
C9JI98	P24770	0
Q14624	O40921	0
P13640	P22575	0
Q9H4B4	P17372	0
A8MZ59	O40939	0
Q5XKL5	P06927	0
Q8N1E2	Q77UU2	0
Q7LBR1	P36810	0
P01709	Q9J5G4	0
Q16473	P0C213	0
Q7Z3H4	P50778	0
Q9BRP9	D3JIT8	0
Q6ZXV5	P68716	0
Q96FL9	P0C569	0
Q8NEC7	P88952	0
P61812	P03070	0
P20273	P08671	0
P0DMM9	Q69091	0
P57052	F1BA48	0
A0A0U1RQC9	P04601	1
B3EWG6	Q2N0S6	0
A2RUU4	P88952	0
Q9NTN9	P06463	0
Q8NH90	Q9DUN1	0
Q5TYM5	P03079	0
Q53HC5	F1BA49	0
P0DKX4	P15059	0
P55075	Q76RG1	0
F8WCM5	Q6H1D8	0
Q9HAW9	P88987	0
P28698	F5HFL9	0
Q96DW6	Q805P6	0
Q8NGT5	P03101	0
A6NH21	Q07857	0
Q969M1	P27311	0
Q9NP55	P68710	0
Q8TBP5	P90489	0
Q9NTN9	P09727	0
A0A0C4DH24	Q9ICL1	0
Q96MU8	P10224	0
P14780	P16494	0
Q6PXP3	Q80HV3	0
A6NDY2	P18139	0
Q15612	Q76TK5	0
P32322	A9QPL9	0
A6NEL3	P68336	0
P36897	O40948	1
Q6TCH4	M1VNY3	0
Q9NV58	Q6SWB7	0
Q6UVY6	P03120	0
P52657	P03296	0
Q8NHB1	P18092	0
P48431	P24741	0
B5ME19	O40918	0
Q5VYV0	M0QVI9	0
P59282	Q98138	0
Q9NR20	P36778	0
Q9BS86	P24835	0
Q9H4A9	A0A384KQ78	0
P08172	O41964	0
Q9Y4Y9	Q80HW9	0
O75969	Q80HW9	0
Q8IYV9	Q98138	0
M0QZC1	Q5I3N2	0
Q9NZI2	Q9DUM9	0
P0C7W0	P0C045	0
Q9UK41	P14079	1
Q9H3S5	Q80HW9	0
Q9C086	P14079	1
Q96QI5	M1VNY3	0
Q8IYS5	Q808S4	0
Q9Y2L9	Q9YJQ8	0
Q86UD3	P12504	0
Q9Y585	Q9DUM9	0
P07451	P23372	0
P60608	P16494	0
Q15369	D2CFJ1	1
O15527	P24772	0
Q9BWV2	P06788	0
P0DP08	Q4VCP9	0
P08319	B8ZX42	0
P00751	P03087	0
Q8N816	P04295	0
O14793	P07567	0
P09960	Q76QC2	0
Q96MZ4	P30927	0
Q52M75	P04489	0
O75508	P11258	0
Q15696	P10228	0
Q9P0W0	P03122	0
Q8TAQ5	Q82630	0
A2RUU4	P03259	0
A6NNX1	E5LBU3	0
Q16570	P10238	0
Q9NRR1	P08160	0
Q5VZV1	P07567	0
Q13061	P06498	0
Q9UMX6	P13199	0
Q6ZN03	P26672	0
Q8NA03	Q6TVJ7	0
Q5VX52	Q80HW9	0
Q6IF00	P19554	0
B1AK53	P12533	0
O43414	Q2HR73	0
Q9Y244	P36780	1
Q14145	P35256	1
A6NCL1	Q8BEL4	0
Q5T013	O41946	0
Q8N4B5	P06929	0
P60328	Q9ICL1	0
Q9GZR5	Q805H7	0
Q5H9L2	P10204	0
Q8N129	P24933	0
Q9NVH2	Q9DHV5	0
Q9UKT6	Q66793	0
Q2M3T9	O55779	0
Q9H9G7	P16778	0
Q9Y2P8	P05888	0
Q8NFT2	P03407	0
O60291	P24933	0
Q14790	B9VXK6	1
Q9UIS9	Q76VT2	0
Q96MN9	P04326	0
Q8IY49	Q9ICL0	0
Q6GTS8	Q9QR69	0
Q9UPR6	P16757	0
E5RG02	A9QPL8	0
Q8IXL7	P18098	0
O14931	P04014	0
P17032	Q9IBY5	0
Q9H3S4	P88968	0
Q9UK59	P04019	0
A4D263	Q4KRW3	0
Q8TDS5	C4P226	0
H3BV12	P06477	0
P41440	O90156	0
O60543	Q07857	0
Q9BU62	P88987	1
Q86WN2	P68336	0
Q8WYK2	Q6SWB7	0
Q9Y6Z7	P36827	0
Q5T230	P29128	0
Q13261	P21698	0
Q8WWA0	P36778	0
O00591	P89653	0
Q96A59	Q6TUZ6	0
Q92988	P36810	0
Q9GZP4	P06789	0
A1L188	A9QPL8	0
Q8N715	P0C206	0
Q96DL1	P88968	0
P53582	Q6TVJ4	0
O75031	Q8BEL4	0
Q7Z5A9	P88993	0
P01772	D3YP88	0
Q6IEE8	Q7LYY4	0
P47869	P36827	1
Q05215	Q2HRB6	0
A0A075B6T7	Q81870	0
Q9Y2Q3	P06463	1
Q9Y3A2	P05928	0
Q9BY11	O89343	0
Q9BY08	Q02843	0
B1AL88	Q9DHV5	0
Q9Y5P2	Q98822	0
C9J202	B9A6D9	0
P17022	G3G922	0
O95076	P17362	0
A8MWD9	M1VNY3	0
A8MV81	Q00335	0
Q9HAT1	P36827	0
Q9UIC8	P03416	0
A0A0B4J240	P04591	0
Q9Y2H8	P89883	0
Q9UKR5	P36741	0
O75052	M0QUH6	0
O43679	Q77UV1	0
Q8N162	Q6UY62	0
Q3KQZ1	P04601	0
E9PGG2	O41964	0
Q5T6C5	P04578	0
A6NFT4	B1Q2W9	0
Q8IYX4	P69284	0
Q07444	P18099	0
P29376	P12848	0
Q9GZP0	Q5I3N2	0
Q6P4A8	K7Y1A2	0
Q9H0X4	Q65212	0
P40394	Q76RI8	0
A8MQB3	O41946	0
D6RBQ6	Q77UV1	0
P0C7T2	Q2HZL0	0
Q8N584	P26554	0
Q9BSN7	P04492	0
Q6ZUJ4	P69726	0
Q96N22	Q6H1D8	0
Q9H6Y2	Q81870	0
P59826	P12848	0
Q4W5G0	P89055	0
Q8WVE6	P03081	0
B1ANH7	P17372	0
Q0VAK6	P89079	0
Q8N0Y3	P68978	0
Q9H910	Q9DUN1	0
Q6IMI6	Q77M20	0
Q9BQ65	Q88939	0
Q96K62	P03081	0
Q6NT55	O89168	0
Q9NQ30	Q6TVJ1	0
A0A0K0K1D8	P19554	0
Q86V25	P10205	0
A8MW95	P03165	0
O00629	Q997F2	1
Q96MF7	Q9DUG7	1
A6NIH7	P06428	1
P11142	Q9J0X9	1
Q9H6Z9	P04326	0
Q9BS18	P68451	0
Q6PCD5	P04017	0
Q8WYP3	Q9QR69	0
O75204	P0C745	0
P53634	P24835	1
P0C875	P0C1C6	0
P0DP74	P36801	0
Q9H6R0	P04578	0
P78371	P03129	1
Q14938	Q2F862	0
Q15560	Q88019	0
Q6P589	P18272	0
Q5VZF2	Q76RG1	0
Q15744	P04305	0
A6NNC1	P04015	0
Q9ULV3	P04492	0
O00526	F5HFL9	0
P50402	P06792	1
O76001	A0A089NDG7	0
P41231	P11158	0
Q7Z2D5	P17386	0
Q13474	P04324	0
Q02930	P03122	0
A6NIJ9	P10238	0
P00325	P36799	0
Q8NGW1	P26672	0
O43781	Q786F3	0
Q9NRB3	P10193	0
A0A0C4DG91	P06428	1
Q5TD94	P03107	0
Q9BY77	Q76RH1	0
Q9UIY3	O41966	0
A0AUZ9	Q7LYY4	0
O95685	Q07857	0
P30518	P36810	0
P08173	F1BA49	0
O43320	Q2F862	0
Q8WUH6	P26555	0
